,,,,,,,09/07/2026,RELATÓRIO ATUALIZADO CEARÁ,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,09/07/2026,,,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,09/07/2026 17:02:13,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,MARCA,LOTE,Column 23
1301,OK,DASS ITAPIPOCA,2,140271,1396864,92682,ATAC. M60126 6MM ALPINA COR 2395,125CM,15875049,2,15869232ADL0000483,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396864,,10,ADIDAS,135257,
1302,OK,DASS ITAPIPOCA,2,140271,1396864,92682,ATAC. M60126 6MM ALPINA COR 2395,130CM,15875049,184,15869232ADL0000483,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396864,,10,ADIDAS,135257,
1303,OK,DASS ITAPIPOCA,2,140271,1396864,92682,ATAC. M60126 6MM ALPINA COR 2395,135CM,15875049,430,15869232ADL0000483,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396864,,10,ADIDAS,135257,
1304,OK,DASS ITAPIPOCA,2,140271,1396864,92682,ATAC. M60126 6MM ALPINA COR 2395,140CM,15875049,94,15869232ADL0000483,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396864,,10,ADIDAS,135257,
1305,OK,DASS ITAPIPOCA,2,140271,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,115CM,15875049,399,15868979ADL0000477,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380686,,10,ADIDAS,135257,
1306,OK,DASS ITAPIPOCA,2,140271,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,115CM,15875049,370,15868994ADL0000477,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380686,,10,ADIDAS,135257,
1307,OK,DASS ITAPIPOCA,2,140271,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,115CM,15875049,368,15869006ADL0000477,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380686,,10,ADIDAS,135257,
1308,OK,DASS ITAPIPOCA,2,140271,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,120CM,15875049,140,15868979ADL0000477,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380686,,10,ADIDAS,135257,
1309,OK,DASS ITAPIPOCA,2,140271,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,120CM,15875049,140,15868994ADL0000477,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380686,,10,ADIDAS,135257,
1310,OK,DASS ITAPIPOCA,2,140271,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,120CM,15875049,161,15869006ADL0000477,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380686,,10,ADIDAS,135257,
1311,OK,DASS ITAPIPOCA,2,140271,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15875049,333,15869015ADL0000475,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380688,,10,ADIDAS,135257,
1312,OK,DASS ITAPIPOCA,2,140271,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15875049,332,15869024ADL0000475,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380688,,10,ADIDAS,135257,
1313,OK,DASS ITAPIPOCA,2,140271,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15875049,140,15869015ADL0000475,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380688,,10,ADIDAS,135257,
1314,OK,DASS ITAPIPOCA,2,140271,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15875049,167,15869024ADL0000475,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1380688,,10,ADIDAS,135257,
1315,OK,DASS ITAPIPOCA,2,140271,1396863,94204,ATAC. M60126 6MM ALPINA COR 2471,125CM,15875049,12,15869215ADL0000484,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396863,,10,ADIDAS,135257,
1316,OK,DASS ITAPIPOCA,2,140271,1396863,94204,ATAC. M60126 6MM ALPINA COR 2471,130CM,15875049,131,15869215ADL0000484,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396863,,10,ADIDAS,135257,
1317,OK,DASS ITAPIPOCA,2,140271,1396863,94204,ATAC. M60126 6MM ALPINA COR 2471,135CM,15875049,412,15869215ADL0000484,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396863,,10,ADIDAS,135257,
1318,OK,DASS ITAPIPOCA,2,140271,1396863,94204,ATAC. M60126 6MM ALPINA COR 2471,140CM,15875049,83,15869215ADL0000484,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1396863,,10,ADIDAS,135257,
1319,OK,DASS ITAPIPOCA,2,140272,1412613,94365,ATAC. MR110002 6MM RECICLADO COR 6125/PET,130CM,15875152,333,15869333ITA0360349,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412613,,10,ADIDAS,135258,
1320,OK,DASS ITAPIPOCA,2,140272,1412613,94365,ATAC. MR110002 6MM RECICLADO COR 6125/PET,130CM,15875152,331,15869347ITA0360349,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412613,,10,ADIDAS,135258,
1321,OK,DASS ITAPIPOCA,2,140272,1412613,94365,ATAC. MR110002 6MM RECICLADO COR 6125/PET,135CM,15875152,92,15869333ITA0360349,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412613,,10,ADIDAS,135258,
1322,OK,DASS ITAPIPOCA,2,140272,1412613,94365,ATAC. MR110002 6MM RECICLADO COR 6125/PET,135CM,15875152,106,15869347ITA0360349,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412613,,10,ADIDAS,135258,
1323,OK,DASS ITAPIPOCA,2,140272,1412616,94739,ATAC. MR110002 6MM RECICLADO COR 6137/PET,130CM,15875152,427,15869298ITA0360350,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412616,,10,ADIDAS,135258,
1324,OK,DASS ITAPIPOCA,2,140272,1412616,94739,ATAC. MR110002 6MM RECICLADO COR 6137/PET,130CM,15875152,410,15869317ITA0360350,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412616,,10,ADIDAS,135258,
1325,OK,DASS ITAPIPOCA,2,140272,1412616,94739,ATAC. MR110002 6MM RECICLADO COR 6137/PET,130CM,15875152,441,15869324ITA0360350,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412616,,10,ADIDAS,135258,
1326,OK,DASS ITAPIPOCA,2,140272,1412616,94739,ATAC. MR110002 6MM RECICLADO COR 6137/PET,135CM,15875152,128,15869298ITA0360350,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412616,,10,ADIDAS,135258,
1327,OK,DASS ITAPIPOCA,2,140272,1412616,94739,ATAC. MR110002 6MM RECICLADO COR 6137/PET,135CM,15875152,110,15869317ITA0360350,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412616,,10,ADIDAS,135258,
1328,OK,DASS ITAPIPOCA,2,140272,1412616,94739,ATAC. MR110002 6MM RECICLADO COR 6137/PET,135CM,15875152,113,15869324ITA0360350,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1412616,,10,ADIDAS,135258,
1329,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,300,15868644ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1330,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,300,15868650ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1331,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,300,15868665ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1332,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,290,15868671ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1333,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,319,15868677ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1334,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,280,15868682ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1335,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,280,15868699ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1336,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,280,15868707ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1337,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,280,15868711ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1338,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,270,15868726ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1339,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15875152,333,15868734ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1340,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,231,15868644ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1341,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,240,15868650ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1342,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,220,15868665ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1343,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,200,15868671ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1344,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,240,15868677ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1345,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,261,15868682ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1346,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,260,15868699ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1347,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,260,15868707ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1348,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,260,15868711ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1349,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,250,15868726ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1350,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15875152,309,15868734ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1351,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15875152,40,15868644ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1352,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15875152,13,15868650ITA0360326,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1353,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15875152,40,15868682ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1354,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15875152,33,15868699ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1355,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15875152,10,15868707ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1356,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15875152,10,15868711ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1357,OK,DASS ITAPIPOCA,2,140272,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15875152,15,15868726ITA0360341,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1294335,,10,ADIDAS,135258,
1358,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15875152,311,15868741ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1359,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15875152,310,15868758ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1360,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15875152,310,15868767ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1361,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15875152,310,15868773ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1362,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15875152,290,15868790ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1363,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15875152,319,15868797ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1364,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15875152,260,15868741ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1365,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15875152,260,15868758ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1366,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15875152,260,15868767ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1367,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15875152,260,15868773ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1368,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15875152,257,15868790ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1369,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15875152,218,15868797ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1370,OK,DASS ITAPIPOCA,2,140272,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,135CM,15875152,8,15868741ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1289069,,10,ADIDAS,135258,
1371,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,125CM,15875152,311,15868741ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1372,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,125CM,15875152,310,15868758ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1373,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,125CM,15875152,310,15868767ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1374,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,125CM,15875152,310,15868773ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1375,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,125CM,15875152,290,15868790ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1376,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,125CM,15875152,319,15868797ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1377,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,130CM,15875152,260,15868741ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1378,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,130CM,15875152,260,15868758ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1379,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,130CM,15875152,260,15868767ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1380,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,130CM,15875152,260,15868773ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1381,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,130CM,15875152,257,15868790ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1382,OK,DASS ITAPIPOCA,2,140272,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,130CM,15875152,218,15868797ITA0360342,29/06/2026,27/07/2026,18,,27/07/26,#N/A,#N/A,#N/A,1287497,,10,ADIDAS,135258,
1189,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875046,150,15868636ITA0360328,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1190,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,130CM,15875046,167,15868640ITA0360328,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1191,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15875046,341,15868636ITA0360328,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1192,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,135CM,15875046,348,15868640ITA0360328,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1193,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15875046,80,15868636ITA0360328,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1194,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15875046,79,15868640ITA0360328,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1195,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,160,15868838ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1196,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,160,15868851ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1197,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,160,15868858ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1198,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,163,15868867ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1199,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,150,15868880ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1200,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,150,15868888ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1201,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,150,15868894ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1202,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,167,15868910ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1203,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,160,15868917ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1204,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,169,15868923ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1205,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,150,15868937ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1206,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,150,15868945ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1207,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15875046,199,15868952ITA0360340,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1208,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,445,15868838ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
1209,OK,DASS ITAPIPOCA,2,140269,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15875046,410,15868851ITA0360338,29/06/2026,29/07/2026,20,,27/07/26,29/07/26,,#N/A,841052,,10,ADIDAS,135255,
