,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
35,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247915,260,15242805ADL000330-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
36,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247915,256,15242817ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
37,OK,DASS ITAPIPOCA,2,134559,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15247915,200,15242820ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/2026,,#N/A,1380683,,71,
38,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15252323,10,15242823ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
39,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15252323,20,15242826ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
40,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15252323,310,15242823ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
41,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15252323,310,15242826ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
42,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15252323,310,15242829ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
43,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15252323,310,15242832ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
44,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15252323,300,15242836ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
45,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15252323,355,15242839ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
46,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252323,200,15242823ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
47,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252323,200,15242826ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
48,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252323,200,15242829ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
49,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252323,200,15242832ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
50,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252323,200,15242836ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
51,OK,DASS ITAPIPOCA,2,134561,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252323,183,15242839ADL000332-,29/01/2026,10/04/2026,0,EMBARQUE EM ATRASO,30/03/2026,10/04/2026,,#N/A,1380683,,71,
174,OK,DASS ITAPIPOCA,2,134760,1380687,94100,ATAC. M60126 6MM ALPINA COR 2452,115CM,15256197,380,15242754ADL000333-,02/02/2026,10/04/2026,0,,06/04/26,10/04/2026,,#N/A,1380687,,67,
175,OK,DASS ITAPIPOCA,2,134760,1380687,94100,ATAC. M60126 6MM ALPINA COR 2452,115CM,15256197,330,15242757ADL000333-,02/02/2026,10/04/2026,0,,06/04/26,10/04/2026,,#N/A,1380687,,67,
176,OK,DASS ITAPIPOCA,2,134760,1380687,94100,ATAC. M60126 6MM ALPINA COR 2452,115CM,15256197,335,15242760ADL000333-,02/02/2026,10/04/2026,0,,06/04/26,10/04/26,,#N/A,1380687,,67,
177,OK,DASS ITAPIPOCA,2,134760,1380687,94100,ATAC. M60126 6MM ALPINA COR 2452,120CM,15256197,130,15242754ADL000333-,02/02/2026,10/04/2026,0,,06/04/26,10/04/26,,#N/A,1380687,,67,
178,OK,DASS ITAPIPOCA,2,134760,1380687,94100,ATAC. M60126 6MM ALPINA COR 2452,120CM,15256197,132,15242757ADL000333-,02/02/2026,10/04/2026,0,,06/04/26,10/04/26,,#N/A,1380687,,67,
179,OK,DASS ITAPIPOCA,2,134760,1380687,94100,ATAC. M60126 6MM ALPINA COR 2452,120CM,15256197,126,15242760ADL000333-,02/02/2026,10/04/2026,0,,06/04/26,10/04/26,,#N/A,1380687,,67,
