,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
2252,OK,ANIGER FILIAL 02,146,136364,29443340267,89916,ATAC. MR140019 6MM RECICLADO COR 5481,95CM,20115197,2292,,16/03/2026,12/05/2026,32,,12/05/2026,#N/A,#N/A,#N/A,29443340267,,25,
2253,OK,ANIGER FILIAL 02,146,136364,29443340267,89916,ATAC. MR140019 6MM RECICLADO COR 5481,100CM,20115197,963,,16/03/2026,12/05/2026,32,,12/05/2026,#N/A,#N/A,#N/A,29443340267,,25,
2254,OK,ANIGER FILIAL 02,146,136364,29443300406,92230,ATAC. MR140019 6MM RECICLADO COR 5945,100CM,20115197,426,,16/03/2026,12/05/2026,32,,12/05/2026,#N/A,#N/A,#N/A,29443300406,,25,
2255,OK,ANIGER FILIAL 02,146,136364,29079127178,94629,ATAC. MR140019 6MM RECICLADO COR 6070/PET,95CM,20115197,5112,,16/03/2026,12/05/2026,32,,12/05/2026,#N/A,#N/A,#N/A,29079127178,,25,
2256,OK,ANIGER FILIAL 02,146,136364,29079127178,94629,ATAC. MR140019 6MM RECICLADO COR 6070/PET,100CM,20115197,1842,,16/03/2026,12/05/2026,32,,12/05/2026,#N/A,#N/A,#N/A,29079127178,,25,
2257,OK,ANIGER FILIAL 02,146,136364,29079136527,94666,ATAC. MR140019 6MM RECICLADO COR 6132,95CM,20115197,672,,16/03/2026,12/05/2026,32,,12/05/2026,#N/A,#N/A,#N/A,29079136527,,25,
2258,OK,ANIGER FILIAL 02,146,136364,29079136527,94666,ATAC. MR140019 6MM RECICLADO COR 6132,100CM,20115197,355,,16/03/2026,12/05/2026,32,,12/05/2026,#N/A,#N/A,#N/A,29079136527,,25,
253,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,125CM,15303382,23,15302152ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
254,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,125CM,15303382,11,15302155ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
255,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,130CM,15303382,170,15302152ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
256,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,130CM,15303382,170,15302155ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
257,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,130CM,15303382,170,15302158ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
258,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,130CM,15303382,170,15302162ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
259,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15303382,281,15302152ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
260,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15303382,280,15302155ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
261,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15303382,280,15302158ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
262,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15303382,280,15302162ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
263,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,140CM,15303382,91,15302152ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
264,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,140CM,15303382,50,15302155ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
265,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,140CM,15303382,50,15302158ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
266,OK,DASS ITAPIPOCA,2,135096,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,140CM,15303382,50,15302162ADL000360-,11/02/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1396818,,58,
611,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15368867,14,15366590ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
612,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15368867,291,15366590ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
613,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15368867,290,15366593ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
614,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15368867,270,15366596ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
615,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15368867,314,15366599ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
616,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15368867,220,15366590ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
617,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15368867,210,15366593ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
618,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15368867,200,15366596ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
619,OK,DASS ITAPIPOCA,2,135796,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15368867,226,15366599ADL000393-,02/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1380688,,39,
1335,OK,DASS ITAPIPOCA,2,136600,1412554,94735,ATAC. M10147 6MM POLIMP COR 6120/P,130CM,15452629,27,15447451ITA11199-A,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412554,,21,
1336,OK,DASS ITAPIPOCA,2,136600,1412554,94735,ATAC. M10147 6MM POLIMP COR 6120/P,130CM,15452629,24,15447454ITA11199-B,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412554,,21,
1337,OK,DASS ITAPIPOCA,2,136600,1412554,94735,ATAC. M10147 6MM POLIMP COR 6120/P,135CM,15452629,271,15447451ITA11199-A,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412554,,21,
1338,OK,DASS ITAPIPOCA,2,136600,1412554,94735,ATAC. M10147 6MM POLIMP COR 6120/P,135CM,15452629,305,15447454ITA11199-B,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412554,,21,
1339,OK,DASS ITAPIPOCA,2,136600,1412554,94735,ATAC. M10147 6MM POLIMP COR 6120/P,140CM,15452629,137,15447451ITA11199-A,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412554,,21,
1340,OK,DASS ITAPIPOCA,2,136600,1412554,94735,ATAC. M10147 6MM POLIMP COR 6120/P,140CM,15452629,132,15447454ITA11199-B,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412554,,21,
1341,OK,DASS ITAPIPOCA,2,136600,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,130CM,15452629,27,15447451ITA11199-A,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412555,,21,
1342,OK,DASS ITAPIPOCA,2,136600,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,130CM,15452629,24,15447454ITA11199-B,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412555,,21,
1343,OK,DASS ITAPIPOCA,2,136600,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,135CM,15452629,271,15447451ITA11199-A,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412555,,21,
1344,OK,DASS ITAPIPOCA,2,136600,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,135CM,15452629,305,15447454ITA11199-B,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412555,,21,
1345,OK,DASS ITAPIPOCA,2,136600,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,140CM,15452629,137,15447451ITA11199-A,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412555,,21,
1346,OK,DASS ITAPIPOCA,2,136600,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,140CM,15452629,132,15447454ITA11199-B,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1412555,,21,
1347,OK,DASS ITAPIPOCA,2,136600,1415831,94738,ATAC. MR110002 6MM RECICLADO COR 6123/PET,130CM,15452629,513,15447457ITA11171,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1415831,,21,
1348,OK,DASS ITAPIPOCA,2,136600,1415831,94738,ATAC. MR110002 6MM RECICLADO COR 6123/PET,135CM,15452629,180,15447457ITA11171,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1415831,,21,
1349,OK,DASS ITAPIPOCA,2,136600,1415831,94738,ATAC. MR110002 6MM RECICLADO COR 6123/PET,140CM,15452629,3,15447457ITA11171,20/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1415831,,21,
1801,OK,DASS ITAPIPOCA,2,136924,117392,70164,FITA MFGP C/ GOMA POLIESTER COR 100,16MM,15490282,560,0,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,117392,,10,
1802,OK,DASS ITAPIPOCA,2,136924,1400576,92777,FITA MFGP C/ GOMA POLIESTER COR 5997,10MM,15490282,2140,0,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1400576,,10,
1803,OK,DASS ITAPIPOCA,2,136925,117392,70164,FITA MFGP C/ GOMA POLIESTER COR 100,16MM,15490292,520,0,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,117392,,10,
1804,OK,DASS ITAPIPOCA,2,136925,1400576,92777,FITA MFGP C/ GOMA POLIESTER COR 5997,10MM,15490292,1980,0,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1400576,,10,
1805,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,145CM,15491124,80,15482287ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1806,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,145CM,15491124,70,15482290ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1807,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,145CM,15491124,79,15482293ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1808,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,145CM,15491124,60,15482296ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1809,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,150CM,15491124,311,15482287ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1810,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,150CM,15491124,310,15482290ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1811,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,150CM,15491124,310,15482293ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1812,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,150CM,15491124,310,15482296ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1813,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,155CM,15491124,235,15482287ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1814,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,155CM,15491124,190,15482290ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1815,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,155CM,15491124,190,15482293ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
1816,OK,DASS ITAPIPOCA,2,136926,1363662,92066,ATAC. M10147 6MM POLIMP COR 100/P,155CM,15491124,190,15482296ADL000431-,31/03/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1363662,,10,
2122,OK,DASS ITAPIPOCA,2,137246,1417897,93832,FITA M31140 POLIESTER COR 4282 / COR 4277,10MM,15534980,550,0,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417897,,1,
2123,OK,DASS ITAPIPOCA,2,137246,1417895,93836,FITA M31140 POLIESTER COR 101 / COR 4000,10MM,15534980,370,0,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417895,,1,
2124,OK,DASS ITAPIPOCA,2,137246,1417896,93837,FITA M31140 POLIESTER COR 278 / COR 101,10MM,15534980,430,0,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417896,,1,
2125,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,372,15530205NEWB003618,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2126,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,348,15530208NEWB003618,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2127,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,372,15530211NEWB003618,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2128,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,300,15530214NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2129,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,300,15530217NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2130,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,288,15530220NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2131,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,360,15530223NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2132,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,420,15530226NEWB003620,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2133,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,372,15530229NEWB003620,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2134,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15534993,372,15530232NEWB003620,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2135,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,156,15530205NEWB003618,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2136,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,120,15530208NEWB003618,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2137,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,144,15530211NEWB003618,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2138,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,168,15530214NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2139,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,168,15530217NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2140,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,168,15530220NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2141,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,168,15530223NEWB003619,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2142,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,84,15530226NEWB003620,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2143,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,36,15530229NEWB003620,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2144,OK,DASS ITAPIPOCA,2,137247,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15534993,24,15530232NEWB003620,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1417918,,1,
2145,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15534993,192,15530250NEWB003621,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2146,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15534993,204,15530253NEWB003621,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2147,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15534993,216,15530256NEWB003621,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2148,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15534993,60,15530259NEWB003622,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2149,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15534993,60,15530262NEWB003622,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2150,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15534993,444,15530415NEWB003634,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2151,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15534993,456,15530418NEWB003634,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2152,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,125CM,15534993,240,15530250NEWB003621,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2153,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,125CM,15534993,216,15530253NEWB003621,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2154,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,125CM,15534993,264,15530256NEWB003621,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2155,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,125CM,15534993,300,15530259NEWB003622,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2156,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,125CM,15534993,336,15530262NEWB003622,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2157,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,125CM,15534993,108,15530415NEWB003634,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
2158,NÃO,DASS ITAPIPOCA,2,137247,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,125CM,15534993,24,15530418NEWB003634,09/04/2026,18/05/2026,38,,18/05/2026,#N/A,#N/A,#N/A,1439677,,1,
1817,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15491124,30,15489819ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1818,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15491124,55,15489839ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1819,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15491124,190,15489819ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1820,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15491124,197,15489839ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1821,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,140CM,15491124,91,15489819ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1822,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,140CM,15491124,125,15489839ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1823,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,145CM,15491124,16,15489819ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1824,OK,DASS ITAPIPOCA,2,136926,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,145CM,15491124,20,15489839ITA0360193,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1215468,,10,
1825,OK,DASS ITAPIPOCA,2,136926,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15491124,15,15482141ADL000410-,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1380683,,10,
1826,OK,DASS ITAPIPOCA,2,136926,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15491124,211,15482141ADL000410-,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1380683,,10,
1827,OK,DASS ITAPIPOCA,2,136926,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15491124,250,15482144ADL000410-,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1380683,,10,
1828,OK,DASS ITAPIPOCA,2,136926,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15491124,122,15482141ADL000410-,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1380683,,10,
1829,OK,DASS ITAPIPOCA,2,136926,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15491124,138,15482144ADL000410-,31/03/2026,20/05/2026,40,,18/05/2026,20/05/26,,#N/A,1380683,,10,
